식품명,에너지(kcal),영양성분함량기준량,수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),업체명
라면_강릉교동반점직화짬뽕소컵,446,100g,0.0,9.23,18.46,0.0,60.0,4.62,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,9.23,0.0,"(주)팔도,해당없음,해당없음"
라면_사리곰탕큰사발면,441,100g,0.0,7.21,15.32,0.0,68.47,2.7,0.0,0.0,0.0,0.0,0.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,0.0,"(주)농심,해당없음,해당없음"
라면_희망줄라면,453,100g,0.0,9.47,16.84,0.0,65.26,4.21,0.0,0.0,0.0,0.0,0.0,1863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.42,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_맵탱 마늘조개라면,423,100g,0.0,7.27,13.64,0.0,67.27,2.73,0.0,0.0,0.0,0.0,0.0,1636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,6.36,0.0,"삼양식품(주)원주공장/삼양식품(주)익산공장,해당없음,해당없음"
라면_강릉교동반점짬뽕,427,100g,0.0,8.18,14.55,0.0,65.45,5.45,0.0,0.0,0.0,0.0,0.0,1518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.27,0.0,"삼양식품(주),해당없음,해당없음"
라면_큰컵삼계탕면,430,100g,0.0,9.0,14.0,0.0,67.0,3.0,0.0,0.0,0.0,0.0,0.0,1580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,"삼양식품(주),해당없음,해당없음"
라면_라면 한 그릇,417,100g,0.0,8.7,13.04,0.0,66.09,6.09,0.0,0.0,0.0,0.0,0.0,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09,0.0,"㈜팔도,해당없음,㈜이마트"
라면_팔도더왕뚜껑,425,100g,0.0,9.17,13.33,0.0,66.67,3.33,0.0,0.0,0.0,0.0,0.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,0.0,"(주)팔도,해당없음,해당없음"
라면_얼큰한너구리,429,100g,0.0,7.5,14.17,0.0,67.5,3.33,0.0,0.0,0.0,0.0,0.0,1417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,"(주)농심,해당없음,해당없음"
라면_보글보글부대찌개컵면,446,100g,0.0,7.69,15.38,0.0,69.23,3.08,0.0,0.0,0.0,0.0,0.0,1862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.0,"(주)농심,해당없음,해당없음"
라면_맵탱 흑후추소고기라면,423,100g,0.0,7.27,13.64,0.0,68.18,1.82,0.0,0.0,0.0,0.0,0.0,1609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,0.0,"삼양식품(주)원주공장/삼양식품(주)익산공장,해당없음,해당없음"
라면_어쩌다사장 대게라면 매운맛,433,100g,0.0,7.62,15.24,0.0,66.67,4.76,0.0,0.0,0.0,0.0,0.0,1676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,6.67,0.0,"(주)팔도,해당없음,해당없음"
라면_컵육개장,442,100g,0.0,16.28,16.28,0.0,65.12,3.49,0.0,0.0,0.0,0.0,0.0,1849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14,0.0,"삼양식품(주),해당없음,해당없음"
라면_오라면Cup,444,100g,0.0,10.0,15.56,0.0,66.67,4.44,0.0,0.0,0.0,0.0,0.0,1633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.78,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_튀김우동,445,100g,0.0,9.09,14.55,0.0,69.09,4.55,0.0,0.0,0.0,0.0,0.0,1436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_삼양라면,417,100g,0.0,8.33,13.33,0.0,65.83,3.33,0.0,0.0,0.0,0.0,0.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,"삼양식품(주),해당없음,해당없음"
라면_팔도도시락,442,100g,0.0,6.98,16.28,0.0,66.28,3.49,0.0,0.0,0.0,0.0,0.0,1628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14,0.0,"(주)팔도,해당없음,해당없음"
라면_김치큰사발면,446,100g,0.0,8.04,16.07,0.0,66.96,5.36,0.0,0.0,0.0,0.0,0.0,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,8.04,0.0,"(주)농심,해당없음,해당없음"
라면_오뚜기유부우동,445,100g,0.0,11.0,17.0,0.0,62.0,7.0,0.0,0.0,0.0,0.0,0.0,1580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_애터미우리밀감자라면컵,440,100g,0.0,8.22,19.18,0.0,61.64,4.11,0.0,0.0,0.0,0.0,0.0,1370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59,0.0,"(주)새롬식품,해당없음,해당없음"
라면_오뚜기진라면순한맛,450,100g,0.0,10.0,16.36,0.0,65.45,2.73,0.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_팔도김치도시락,459,100g,0.0,6.98,18.6,0.0,66.28,2.33,0.0,0.0,0.0,0.0,0.0,1849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,"(주)팔도,해당없음,해당없음"
라면_보글보글부대찌개큰사발면,440,100g,0.0,8.26,14.68,0.0,68.81,4.59,0.0,0.0,0.0,0.0,0.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,7.34,0.0,"(주)농심,해당없음,해당없음"
라면_오뚜기진짬뽕,422,100g,0.0,7.83,18.26,0.0,56.52,5.22,0.0,0.0,0.0,0.0,0.0,1557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,7.83,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_마라고수(高手)마라탕면,459,100g,0.0,8.25,18.56,0.0,64.95,5.15,0.0,0.0,0.0,0.0,0.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,0.0,"(주)농심,해당없음,해당없음"
라면_유어스공화춘삼선짬뽕컵,459,100g,0.0,8.18,20.0,0.0,61.82,2.73,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.64,7.27,0.0,"㈜팔도,해당없음,㈜GS리테일"
라면_오징어짬뽕큰사발면,457,100g,0.0,7.83,16.52,0.0,68.7,8.7,0.0,0.0,0.0,0.0,0.0,1383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.65,8.7,0.0,"(주)농심,해당없음,해당없음"
라면_맵탱 큰컵 흑후추소고기라면,441,100g,0.0,7.27,16.36,0.0,66.36,2.73,0.0,0.0,0.0,0.0,0.0,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,"삼양식품(주)원주공장,해당없음,해당없음"
라면_불타는 고추짬뽕,430,100g,0.0,9.57,13.91,0.0,66.96,2.61,0.0,0.0,0.0,0.0,0.0,1635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96,0.0,"삼양식품(주)원주공장,해당없음,삼양식품㈜"
