인허가일자,영업상태명,폐업일자,소재지전체주소,사업장명,업태구분명,시설총규모
2010-03-12,폐업,2012-03-05,경기도 안양시 만안구 안양동 563-23번지 지상1층,페리카나,통닭(치킨),21.0
1998-05-12,폐업,2006-06-02,경기도 수원시 팔달구 인계동 384 주공(아)가상가 104호,페리카나(인계점),기타,24.7
1986-11-06,폐업,2016-01-27,경기도 수원시 팔달구 인계동 969,네네치킨,통닭(치킨),9.72
2018-11-29,폐업,2021-11-15,경기도 화성시 오산동 969-2 동탄역 리치안 1층 102호,자담치킨동탄역점,호프/통닭,57.75
1984-03-17,폐업,2013-02-05,경기도 수원시 팔달구 고등동 102,페리카나통닭고등점,통닭(치킨),27.5
2003-10-23,폐업,2022-01-17,경기도 용인시 기흥구 마북동 254-2,네네치킨구성점,통닭(치킨),39.27
2018-07-05,폐업,2023-03-22,경기도 의정부시 녹양동 341,자담치킨 녹양가능점,호프/통닭,38.76
2006-07-27,폐업,2015-06-03,충청북도 음성군 감곡면 왕장리 453-34번지,네네치킨감곡점,통닭(치킨),46.37
2004-07-21,폐업,2016-02-11,충청북도 청주시 상당구 금천동 151-5번지,네네치킨금천점,통닭(치킨),27.59
2001-12-13,폐업,2003-12-10,충청북도 청주시 청원구 내덕동 406-2번지,네네치킨,패스트푸드,23.46
2013-04-11,폐업,2013-05-24,충청북도 청주시 흥덕구 가경동 1758번지 가로수마을 선광로즈웰상가동 102호(1층),네네치킨강서점,통닭(치킨),30.45
2004-07-29,폐업,2012-12-20,충청북도 충주시 칠금동 792번지 (1층),페리카나칠금점,통닭(치킨),35.2
2015-07-21,폐업,2019-04-04,충청북도 음성군 맹동면 동성리 461번지,네네치킨 맹동혁신도시점,호프/통닭,36.0
2012-06-28,폐업,2023-04-18,충청북도 음성군 대소면 태생리 539-170,교촌치킨 대소점,통닭(치킨),48.65
2008-02-26,폐업,2014-02-17,충청북도 음성군 삼성면 덕정리 521-12번지,페리카나&피자굼터,통닭(치킨),94.99
2000-09-28,폐업,2009-04-29,충청북도 충주시 교현동 1121번지,교촌치킨교현점,한식,19.94
2012-06-22,폐업,2022-08-11,충청북도 영동군 영동읍 부용리 220-10,네네치킨,통닭(치킨),45.0
2003-04-03,폐업,2012-06-28,충청북도 음성군 대소면 태생리 537번지 외1,교촌치킨,통닭(치킨),32.24
2002-12-02,폐업,2014-05-13,충청북도 청주시 흥덕구 복대동 2201-11번지 (1층),네네치킨(복대개신점),통닭(치킨),30.17
2006-09-06,폐업,2015-01-26,충청북도 음성군 대소면 오산리 144-6번지,네네치킨대소점,통닭(치킨),28.62
