인허가일자,폐업일자,상세영업상태명,소재지전체주소,사업장명
2017-08-09,,영업중,서울특별시 광진구 구의동 596-5번지 지하2층,더테라 휘트니스
2017-09-20,,영업중,서울특별시 광진구 구의동 202-27번지 6층,원모어핏
2018-11-29,,영업중,서울특별시 강서구 마곡동 759-3번지 보타닉파크타워Ⅰ 12층,에이블짐 마곡나루점
2018-11-29,,영업중,경상남도 양산시 물금읍 가촌리 1269-5번지 302호,GYM502
2018-11-29,,영업중,인천광역시 미추홀구 주안동 1552-9,림즈짐
2018-12-26,,영업중,대구광역시 수성구 범어동 436-9번지 범어빌딩,클락해치 VIP 트레이닝센터
2018-12-27,,영업중,서울특별시 서초구 서초동 1589-12번지 오영빌딩,엠퍼스널트레이닝서초
2018-12-27,,영업중,서울특별시 영등포구 영등포동7가 94-49번지 인따르시아사옥,메디핏
2018-12-04,,영업중,경상남도 양산시 동면 석산리 523-3,제이비피트니스
2018-12-04,,영업중,부산광역시 연제구 연산동 739-3번지 행복한메디컬센타,매드맥스짐
2018-12-27,,영업중,광주광역시 광산구 월계동 891-5 대성트위스밸리,바디채널 첨단점
2018-11-08,,영업중,경기도 용인시 기흥구 마북동 181-2 한성프라자 306호,벨류필라테스 마북
2018-11-08,,영업중,서울특별시 중랑구 신내동 644 엘리어트하우스,코어스트롱 휘트니스
2018-11-22,,영업중,서울특별시 강남구 개포동 13-3번지 대청타워,대청spo5
2018-11-22,,영업중,서울특별시 중구 태평로2가 150번지 부영 태평빌딩,주식회사 태평로 바디스타
2018-11-19,,영업중,부산광역시 해운대구 우동 1432번지 현대베네시티아파트,베스트피트니스2
2018-11-19,,영업중,대전광역시 유성구 궁동 479-11번지,어썸피트니스
2018-11-19,,영업중,경기도 평택시 이충동 610-4,DYB GYM & QTP GYM
2018-11-19,,영업중,전라남도 여수시 덕충동 2037-1번지,킹콩짐
2018-11-19,,영업중,울산광역시 남구 무거동 327-19번지,FW FITNESS
2024-01-16,,영업중,경상남도 진주시 충무공동 69-3 윙스타워,윙스피트니스
2018-11-19,,영업중,울산광역시 남구 무거동 621-19,메루치양식장
2018-11-20,,영업중,경상북도 구미시 송정동 464-7,FMPT
2018-11-20,,영업중,제주특별자치도 제주시 연동 251-28 제움,티쳐피트니스
2018-11-20,,영업중,경상북도 영주시 가흥동 1631,D-gym
2018-11-20,,영업중,울산광역시 남구 달동 1253-3번지,네오피티 운동센터
2018-11-20,,영업중,경기도 성남시 수정구 창곡동 513 에이플타워,짐타임
2018-12-04,,영업중,울산광역시 중구 남외동 483-11 SkyM빌딩,G-Fit Fitness
2018-11-05,,영업중,경기도 성남시 수정구 창곡동 562번지 아이페리온,MVM휘트니스
2018-11-05,,영업중,경기도 성남시 수정구 복정동 689-9번지,제이토탈휘트니스 복정점
2018-11-05,,영업중,경상남도 양산시 동면 석산리 702-10번지 자미돈숯불,하이운동발달센터
2019-01-07,,영업중,인천광역시 연수구 송도동 8-19 701호,팀윤짐(송도3호점)
2018-11-07,,영업중,서울특별시 양천구 목동 606-18번지 3층,워너짐
2018-11-07,,영업중,충청북도 음성군 대소면 삼정리 611-41,스컬휘트니스
2019-01-21,,영업중,경상남도 통영시 미수동 528-1번지 미수탕,스마트 바디
2019-01-21,,영업중,서울특별시 동대문구 신설동 101-5번지 지하1층,스포애니 신설동역점
