ID,price
725,19899
726,16000
727,33970
729,7996
730,18990
731,15490
732,13299
733,9190
735,15295
736,6530
737,16611
738,20000
739,13366
740,13995
741,6300
742,12498
743,9000
745,13990
746,8495
747,3799
748,23991
749,7995
751,22499
752,13998
753,12798
754,11300
755,6200
757,14500
758,8995
759,6990
760,10495
761,6199
762,7995
763,18100
764,13995
765,7495
766,22000
767,6399
768,20999
769,14750
771,13495
772,13999
773,15190
774,8998
775,20995
776,7446
779,10995
780,18999
781,16000
782,8490
783,15995
787,6995
789,12995
791,5588
792,14770
793,8500
794,22995
795,15999
797,22970
798,11250
801,16498
802,12695
803,10280
804,15691
805,6950
807,6860
808,9995
809,13920
811,20500
812,19995
813,9690
814,7275
815,14747
816,5998
817,13000
818,8395
819,6999
820,13998
821,6500
823,4498
824,8995
826,12995
827,29995
828,7459
829,8990
831,13097
832,11989
833,15250
834,14600
838,8990
839,17699
841,5485
842,8995
843,18999
844,12769
846,25995
848,17970
849,15495
850,11670
851,7610
852,30995
853,12495
854,12450
855,25995
857,9250
858,8750
860,9770
861,12998
862,17190
863,4999
864,7357
865,17998
866,19642
868,8990
869,19899
870,13400
871,5995
872,23995
873,4898
876,9624
878,9750
879,11495
881,12500
882,7999
884,4590
885,6844
888,10690
889,27995
890,8691
891,23000
892,12298
893,8899
894,16595
895,6980
896,15979
897,15470
898,8000
899,9995
900,15470
902,9950
903,23995
904,13100
905,6981
906,15850
907,13990
908,8900
909,8990
910,14998
911,16000
912,13695
913,20995
914,4995
915,15998
917,10798
918,14450
919,7500
920,13498
921,9700
923,14250
924,7498
925,4980
927,12498
928,6999
931,10000
932,7699
933,9498
934,18999
935,12480
936,9998
937,2895
938,10995
939,12498
940,13750
941,13490
942,6495
943,35995
945,8998
946,7750
947,7776
948,15498
949,23991
952,16290
953,17195
954,14998
955,7849
957,17000
959,17749
960,15495
962,15990
963,21990
964,21995
965,14966
967,13998
968,10970
969,17298
970,8750
971,7990
972,6250
973,8500
974,19965
975,9970
976,13750
977,9495
978,7560
979,18298
980,17390
981,6000
983,6698
984,12750
985,3790
986,6220
988,13499
989,8995
990,11000
991,4495
993,6750
994,10000
995,11998
996,13495
997,6495
998,11998
999,15278
1000,7798
1001,15490
1002,11990
1004,14200
1005,5500
1006,8698
1007,12490
1008,8491
1009,9990
1011,32995
1013,16995
1017,7000
1019,14985
1020,9300
1021,13800
1022,7798
1025,15999
1026,6490
1027,8982
1028,14195
1029,15498
1030,13300
1031,14430
1032,17495
1033,5998
1034,9795
1035,24990
1036,13789
1037,18310
1038,15498
1039,6795
1040,12370
1041,23995
1043,6120
1044,8995
1045,8250
1046,27995
1047,5698
1048,15200
1049,24295
1050,11998
1051,16599
1052,26000
1055,13850
1056,8855
1057,12298
1058,9750
1059,7995
1061,15495
1062,5998
1063,8990
1064,9698
1065,36795
1066,5498
1067,13500
1068,14990
1069,20842
1070,17995
1071,4695
1074,8200
1076,10700
1077,20999
1079,22600
1081,11798
1082,7497
1083,18985
1085,8990
